location_id,date,temp_c,humidity_pct,rainfall_mm
kalimati,2024-01-01,10.6,65.8,0.6
kalimati,2024-01-02,12.5,56.5,1.1
kalimati,2024-01-03,11.6,67.9,0.8
kalimati,2024-01-04,8.4,64.3,1.3
kalimati,2024-01-05,1.9,53.0,0.4
kalimati,2024-01-06,12.8,75.9,0.0
kalimati,2024-01-07,8.3,70.0,0.7
kalimati,2024-01-08,9.4,56.0,0.2
kalimati,2024-01-09,14.4,57.6,1.2
kalimati,2024-01-10,12.1,61.0,1.1
kalimati,2024-01-11,10.2,58.5,1.4
kalimati,2024-01-12,10.2,51.8,1.0
kalimati,2024-01-13,14.4,57.9,1.0
kalimati,2024-01-14,14.9,53.5,0.5
kalimati,2024-01-15,11.1,68.4,1.6
kalimati,2024-01-16,23.4,57.3,0.6
kalimati,2024-01-17,11.7,62.4,0.3
kalimati,2024-01-18,13.1,59.9,0.6
kalimati,2024-01-19,14.6,49.4,0.5
kalimati,2024-01-20,9.8,65.6,1.3
kalimati,2024-01-21,15.1,45.1,0.3
kalimati,2024-01-22,18.3,56.6,0.2
kalimati,2024-01-23,15.1,58.6,0.1
kalimati,2024-01-24,19.2,49.0,0.5
kalimati,2024-01-25,12.6,61.8,0.8
kalimati,2024-01-26,10.8,60.6,4.7
kalimati,2024-01-27,5.9,58.3,0.7
kalimati,2024-01-28,13.6,64.1,0.9
kalimati,2024-01-29,10.1,61.9,0.1
kalimati,2024-01-30,15.9,46.9,0.1
kalimati,2024-01-31,20.1,61.2,0.1
kalimati,2024-02-01,11.5,50.4,0.4
kalimati,2024-02-02,6.5,63.4,0.4
kalimati,2024-02-03,9.1,51.3,0.5
kalimati,2024-02-04,15.4,67.3,1.9
kalimati,2024-02-05,9.8,66.2,0.4
kalimati,2024-02-06,8.8,64.3,1.8
kalimati,2024-02-07,17.2,47.3,0.8
kalimati,2024-02-08,9.7,44.9,1.0
kalimati,2024-02-09,8.1,63.7,0.4
kalimati,2024-02-10,10.0,65.4,0.1
kalimati,2024-02-11,11.3,65.7,3.1
kalimati,2024-02-12,7.7,62.1,0.5
kalimati,2024-02-13,4.9,55.6,1.7
kalimati,2024-02-14,10.0,57.1,1.5
kalimati,2024-02-15,8.3,65.2,0.4
kalimati,2024-02-16,15.8,51.5,1.1
kalimati,2024-02-17,8.3,39.4,0.6
kalimati,2024-02-18,7.0,63.3,3.4
kalimati,2024-02-19,15.3,69.9,0.3
kalimati,2024-02-20,17.7,71.3,1.0
kalimati,2024-02-21,8.6,62.2,1.0
kalimati,2024-02-22,16.7,52.2,0.7
kalimati,2024-02-23,2.8,63.8,1.4
kalimati,2024-02-24,11.9,64.7,0.8
kalimati,2024-02-25,14.2,56.0,0.9
kalimati,2024-02-26,13.9,60.8,0.5
kalimati,2024-02-27,17.0,63.7,0.6
kalimati,2024-02-28,9.4,54.3,0.8
kalimati,2024-02-29,20.3,55.7,1.6
kalimati,2024-03-01,21.9,56.2,7.0
kalimati,2024-03-02,26.9,68.2,1.6
kalimati,2024-03-03,20.6,62.6,2.9
kalimati,2024-03-04,19.9,62.1,2.9
kalimati,2024-03-05,23.7,57.2,1.5
kalimati,2024-03-06,20.1,55.0,1.6
kalimati,2024-03-07,25.5,59.1,0.9
kalimati,2024-03-08,22.4,70.8,0.4
kalimati,2024-03-09,23.2,70.3,6.0
kalimati,2024-03-10,17.7,60.0,2.3
kalimati,2024-03-11,19.4,60.5,0.5
kalimati,2024-03-12,18.6,63.2,6.4
kalimati,2024-03-13,24.0,81.5,1.3
kalimati,2024-03-14,21.4,71.6,2.2
kalimati,2024-03-15,23.0,74.0,5.1
kalimati,2024-03-16,21.0,68.7,5.6
kalimati,2024-03-17,19.6,48.8,8.6
kalimati,2024-03-18,21.6,65.1,9.6
kalimati,2024-03-19,17.1,63.3,1.3
kalimati,2024-03-20,24.6,59.0,0.2
kalimati,2024-03-21,22.0,54.7,5.9
kalimati,2024-03-22,21.1,52.5,2.0
kalimati,2024-03-23,18.0,69.4,2.4
kalimati,2024-03-24,20.0,62.5,9.1
kalimati,2024-03-25,19.1,65.3,7.8
kalimati,2024-03-26,26.6,51.9,4.0
kalimati,2024-03-27,18.9,75.8,28.4
kalimati,2024-03-28,19.7,58.0,4.0
kalimati,2024-03-29,21.0,61.1,0.8
kalimati,2024-03-30,26.0,75.0,12.0
kalimati,2024-03-31,16.1,51.4,0.2
kalimati,2024-04-01,18.9,72.2,18.0
kalimati,2024-04-02,20.7,69.6,8.6
kalimati,2024-04-03,21.2,60.8,0.5
kalimati,2024-04-04,20.6,68.1,12.2
kalimati,2024-04-05,26.4,47.2,1.7
kalimati,2024-04-06,22.2,60.2,2.0
kalimati,2024-04-07,19.7,85.4,4.0
kalimati,2024-04-08,22.0,80.1,4.5
kalimati,2024-04-09,22.6,47.5,1.4
kalimati,2024-04-10,25.3,58.8,0.9
kalimati,2024-04-11,23.3,48.3,2.9
kalimati,2024-04-12,18.8,47.6,0.5
kalimati,2024-04-13,24.0,68.4,21.6
kalimati,2024-04-14,20.5,59.5,7.4
kalimati,2024-04-15,24.1,60.2,1.2
kalimati,2024-04-16,22.7,54.4,6.7
kalimati,2024-04-17,18.1,57.2,3.6
kalimati,2024-04-18,23.3,60.9,9.9
kalimati,2024-04-19,21.4,69.8,4.9
kalimati,2024-04-20,20.9,73.4,1.4
kalimati,2024-04-21,21.0,45.5,2.6
kalimati,2024-04-22,20.1,70.9,7.9
kalimati,2024-04-23,24.0,71.9,20.2
kalimati,2024-04-24,20.8,69.5,4.9
kalimati,2024-04-25,22.6,77.8,17.8
